 Month Observed, Year Observed, Species, Latitude, Longitude
January,2021,"Animal, Unknown",55.63120609,-118.6992033
January,2021,"Animal, Unknown",54.8359407,-117.271952
January,2021,"Animal, Unknown",53.57070751,-112.6092611
January,2021,Badger,49.70434438,-112.7613922
January,2021,"Cat, Domestic",52.56388126,-111.0506163
January,2021,"Cat, Domestic",49.9413446,-113.540655
January,2021,"Cat, Domestic",49.81730861,-112.6225187
January,2021,"Cat, Domestic",49.7685622,-112.6227379
January,2021,"Cat, Domestic",55.21379462,-118.0133833
January,2021,"Cat, Domestic",51.50296257,-114.0248523
January,2021,"Cat, Domestic",49.87311394,-112.6661649
January,2021,"Cat, Domestic",49.4567326,-113.4990529
January,2021,Coyote,52.5976289,-111.1279855
January,2021,Coyote,53.62026015,-113.3634325
January,2021,Coyote,55.23654033,-119.1538879
January,2021,Coyote,52.11389164,-113.2942155
January,2021,Coyote,51.58132974,-111.5202682
January,2021,Coyote,49.80341894,-113.0789024
January,2021,Coyote,53.62197368,-113.5926236
January,2021,Coyote,53.8314956,-113.4896783
January,2021,Coyote,52.40487362,-110.4703969
January,2021,Coyote,51.78707607,-114.0252555
January,2021,Coyote,53.58446854,-113.3448367
January,2021,Coyote,51.57617096,-114.025209
January,2021,Coyote,51.06022198,-115.3212505
January,2021,Coyote,51.27075808,-114.1969017
January,2021,Coyote,49.01712434,-111.9861347
January,2021,Coyote,51.88551588,-114.0257186
January,2021,Coyote,51.27654788,-110.3060574
January,2021,Coyote,51.10040885,-115.3565091
January,2021,Coyote,53.64546951,-113.4324975
January,2021,Coyote,49.77342707,-112.6223768
January,2021,Coyote,50.89636889,-113.059707
January,2021,"Deer, Mule",52.50622455,-110.8206596
January,2021,"Deer, Mule",56.23304073,-117.5053432
January,2021,"Deer, Mule",52.4812759,-110.7184901
January,2021,"Deer, Mule",52.3611912,-110.1020001
January,2021,"Deer, Mule",54.12238306,-112.4429223
January,2021,"Deer, Mule",49.69823285,-112.8194379
January,2021,"Deer, Mule",49.79583331,-113.5243993
January,2021,"Deer, Mule",51.33849249,-113.5887998
January,2021,"Deer, Mule",49.9587511,-110.3477782
January,2021,"Deer, Mule",51.29976223,-113.7411479
January,2021,"Deer, Mule",52.33238161,-114.8890523
January,2021,"Deer, Mule",51.98897618,-110.3984179
January,2021,"Deer, Mule",52.6087676,-112.2119085
January,2021,"Deer, Mule",50.63715187,-113.9749059
January,2021,"Deer, Mule",53.1924962,-112.9355307
January,2021,"Deer, Mule",52.32430091,-112.7954004
January,2021,"Deer, Mule",52.3177099,-112.6444908
January,2021,"Deer, Mule",52.66774669,-113.4361611
