 Month Observed, Year Observed, Species, Latitude, Longitude
January,2016,"Deer, White-Tailed",57.147963,-111.587578
January,2016,"Deer, White-Tailed",56.800923,-111.435825
January,2016,"Deer, White-Tailed",55.172016,-112.480026
January,2016,"Deer, White-Tailed",56.39228,-111.443014
January,2016,Duck/Goose/Swan,56.7112,-111.3854
January,2016,Moose,56.835872,-111.438168
January,2016,"Weasel, Small Species",56.392452,-111.443115
February,2016,"Deer, Mule",56.754869,-111.415177
February,2016,"Deer, White-Tailed",55.231915,-112.476944
March,2016,Coyote,57.133849,-111.603168
March,2016,"Deer, White-Tailed",56.754869,-111.415177
April,2016,"Deer, Mule",53.37254,-112.830372
April,2016,"Deer, White-Tailed",53.67136,-113.245629
May,2016,"Bear, Black",55.336987,-111.278567
May,2016,Coyote,53.701865,-113.639335
May,2016,Coyote,53.548321,-113.247075
May,2016,"Dog, Domestic",53.716231,-113.511291
May,2016,Hawk/Eagle,53.6123,-113.245324
May,2016,Porcupine,53.637039,-113.245305
May,2016,Porcupine,53.640173,-113.24582
June,2016,"Bear, Black",57.228991,-111.5919
June,2016,Coyote,55.109948,-112.49342
June,2016,"Deer, Mule",56.303951,-110.950515
June,2016,"Deer, Mule",56.733634,-111.402335
June,2016,"Deer, Unknown",55.361121,-112.472936
June,2016,"Deer, White-Tailed",56.261236,-111.619081
June,2016,"Deer, White-Tailed",56.284548,-111.610496
June,2016,"Deer, White-Tailed",54.908964,-112.531855
June,2016,"Deer, White-Tailed",55.16985,-112.479938
June,2016,"Deer, White-Tailed",53.614565,-113.245362
June,2016,"Deer, White-Tailed",54.832051,-112.552236
June,2016,"Deer, White-Tailed",56.999088,-111.552022
June,2016,"Deer, White-Tailed",55.502786,-112.359275
June,2016,"Deer, White-Tailed",55.727996,-112.196274
June,2016,Moose,54.828235,-112.561957
June,2016,Moose,55.635982,-112.175968
June,2016,Porcupine,53.58659,-113.245393
June,2016,"Skunk, Striped",53.71618,-113.436986
July,2016,Badger,49.586157172,-114.136594697
July,2016,Coyote,51.62758,-112.721592
July,2016,Coyote,51.214757,-114.00013
July,2016,"Deer, Mule",51.038491,-113.801338
July,2016,"Deer, White-Tailed",53.700686,-114.222805
July,2016,"Deer, White-Tailed",51.246431,-114.001645
July,2016,"Deer, White-Tailed",56.69736,-111.353246
July,2016,"Deer, White-Tailed",53.541177,-113.403826
July,2016,"Deer, White-Tailed",51.037878,-113.709829
July,2016,Raven/Crow/Magpie,52.907417,-111.237531
July,2016,Raven/Crow/Magpie,53.034452,-111.619669
July,2016,"Skunk, Striped",53.54047,-113.934274
August,2016,"Bear, Black",57.011411,-111.580621
August,2016,"Bear, Black",56.777531,-111.42643
August,2016,"Bear, Black",55.894941,-110.816042
August,2016,"Bear, Black",55.187492,-112.482745
August,2016,Coyote,53.622327,-115.548285
August,2016,Coyote,55.18586,-112.476002
August,2016,Coyote,55.654183,-111.134216
August,2016,"Deer, Mule",54.83579,-112.554982
August,2016,"Deer, Unknown",54.251603,-113.004804
August,2016,"Deer, White-Tailed",54.811223,-112.783285
August,2016,"Deer, White-Tailed",53.41423,-113.498065
