 Month Observed, Year Observed, Species, Latitude, Longitude
January,2020,"Cat, Domestic",49.873160959,-112.862706642
January,2020,"Cat, Domestic",49.430306292,-112.85998142
January,2020,"Cat, Domestic",49.426213612,-112.378425295
January,2020,"Cat, Domestic",49.78497525,-113.117482488
January,2020,"Cat, Domestic",52.667773804,-113.437432692
January,2020,"Cat, Domestic",49.771845435,-112.972039694
January,2020,"Cat, Domestic",49.873106184,-112.847651401
January,2020,"Cat, Domestic",49.743961994,-113.329459208
January,2020,Coyote,52.098783647,-114.382493899
January,2020,Coyote,51.794968131,-114.541362394
January,2020,Coyote,53.6655892,-112.5433365
January,2020,Coyote,52.274101681,-112.094537131
January,2020,Coyote,50.821013907,-113.99213383
January,2020,Coyote,53.508404363,-113.343689432
January,2020,Coyote,51.580612372,-111.50832966
January,2020,Coyote,51.175696026,-113.994506495
January,2020,Coyote,51.338262702,-114.002199825
January,2020,Coyote,51.183709758,-114.369914432
January,2020,Coyote,51.164774087,-114.298846749
January,2020,Coyote,51.145384633,-114.030554546
January,2020,Coyote,51.109540137,-114.223890267
January,2020,Coyote,49.714678881,-112.882168337
January,2020,Coyote,51.093755546,-114.233597349
January,2020,Coyote,53.62405143,-113.246311668
January,2020,Coyote,49.602115851,-112.647952119
January,2020,Coyote,52.959788138,-113.8190154
January,2020,"Deer, Mule",49.014781955,-111.986133428
January,2020,"Deer, Mule",51.602451447,-112.723763455
January,2020,"Deer, Mule",50.453837556,-114.427785175
January,2020,"Deer, Mule",49.980787308,-113.549750303
January,2020,"Deer, Mule",51.10685885,-114.234253066
January,2020,"Deer, Mule",51.65413334,-112.895935457
January,2020,"Deer, Mule",51.4564858,-114.020135924
January,2020,"Deer, Mule",51.371762571,-114.001575373
January,2020,"Deer, Mule",52.171701947,-111.810543705
January,2020,"Deer, Mule",53.4817809,-112.0025097
January,2020,"Deer, Mule",52.367289325,-113.827291758
January,2020,"Deer, Mule",49.0061738,-111.965116
January,2020,"Deer, Mule",49.159167457,-113.285400381
January,2020,"Deer, Mule",53.3362812,-110.9211571
January,2020,"Deer, Mule",50.71775171,-113.828472225
January,2020,"Deer, Mule",51.503198238,-113.352433481
January,2020,"Deer, Mule",52.492305036,-110.893977042
January,2020,"Deer, Mule",53.774716689,-112.996868018
January,2020,"Deer, Mule",50.224936873,-113.396749636
January,2020,"Deer, Mule",50.406406336,-113.828384634
January,2020,"Deer, Mule",50.834073625,-113.417974133
January,2020,"Deer, Mule",51.503361091,-113.313076794
January,2020,"Deer, Mule",52.1113802,-111.5733112
January,2020,"Deer, Mule",49.353114,-113.5045611
January,2020,"Deer, Mule",49.3272699,-113.6628597
January,2020,"Deer, Mule",49.2363375,-113.2448084
January,2020,"Deer, Mule",49.445985094,-114.208348542
January,2020,"Deer, Mule",49.493727285,-113.969210163
January,2020,"Deer, Mule",49.472553494,-114.030415155
January,2020,"Deer, Mule",49.306005728,-112.217424353
January,2020,"Deer, Mule",49.324466911,-112.233815244
January,2020,"Deer, Mule",52.302997118,-111.838128468
January,2020,"Deer, Mule",51.299666008,-113.893213207
January,2020,"Deer, Mule",49.35155671,-113.510636006
January,2020,"Deer, Mule",49.896243953,-113.522365677
January,2020,"Deer, Mule",52.1429537,-112.7192083
January,2020,"Deer, Mule",52.66902222,-113.722122796
January,2020,"Deer, Mule",51.6490757,-112.688359302
January,2020,"Deer, Mule",49.878552161,-113.527763935
January,2020,"Deer, Mule",50.484575923,-113.925491665
January,2020,"Deer, Mule",54.7786951,-112.8021193
January,2020,"Deer, Mule",49.874588287,-113.526859117
January,2020,"Deer, Mule",50.010574859,-113.574201371
January,2020,"Deer, Mule",49.886808985,-113.528322258
January,2020,"Deer, Mule",52.3691971,-111.4202243
January,2020,"Deer, Mule",50.828205245,-114.001514856
January,2020,"Deer, Mule",53.660407389,-112.530014932
January,2020,"Deer, Mule",52.9016447,-111.0795889
January,2020,"Deer, Mule",52.3262599,-111.8368561
January,2020,"Deer, Mule",51.019656966,-114.314950425
January,2020,"Deer, Mule",52.654373966,-113.315374129
January,2020,"Deer, Mule",49.424876787,-112.876133264
January,2020,"Deer, Mule",49.2790345,-112.1974411
January,2020,"Deer, Mule",51.299654902,-113.89360372
January,2020,"Deer, Mule",51.0276166,-110.2142927
January,2020,"Deer, Mule",52.676099175,-113.607718881
January,2020,"Deer, Mule",51.295476565,-113.591558905
January,2020,"Deer, Mule",49.0918042,-113.2209265
January,2020,"Deer, Mule",49.4254517,-112.8748337
