 Month Observed, Year Observed, Species, Latitude, Longitude
January,2019,"Animal, Unknown",54.6295624,-112.8034342
January,2019,Badger,50.7759517,-112.2207283
January,2019,"Cat, Domestic",49.9315293,-112.7080645
January,2019,"Cat, Domestic",49.873008966,-112.796865888
January,2019,"Cat, Domestic",49.668856956,-112.760891865
January,2019,Coyote,49.5985506,-112.6429923
January,2019,Coyote,50.5867343,-111.8903013
January,2019,Coyote,51.0379472,-113.6017849
January,2019,Coyote,53.489906509,-113.34371374
January,2019,Coyote,53.633141876,-113.396235248
January,2019,Coyote,52.754421788,-113.643672383
January,2019,Coyote,54.30083847,-116.313140869
January,2019,Coyote,54.309320277,-116.421380633
January,2019,"Deer, Mule",49.690147708,-113.498140985
January,2019,"Deer, Mule",51.423611418,-114.000570656
January,2019,"Deer, Mule",51.326299984,-114.003271118
January,2019,"Deer, Mule",49.671274962,-112.779055602
January,2019,"Deer, Mule",50.699803494,-113.881178246
January,2019,"Deer, Mule",50.659712759,-113.882660512
January,2019,"Deer, Mule",49.5709047,-112.7795049
January,2019,"Deer, Mule",51.147231846,-114.267432641
January,2019,"Deer, Mule",49.045140605,-111.998749785
January,2019,"Deer, Mule",49.4302658,-113.3083203
January,2019,"Deer, Mule",49.587299894,-114.156078827
January,2019,"Deer, Mule",49.555667545,-113.456609698
January,2019,"Deer, Mule",49.1830718,-113.298219
January,2019,"Deer, Mule",50.019791019,-113.477472858
January,2019,"Deer, Mule",53.367106104,-112.801522269
January,2019,"Deer, Mule",49.2415585,-113.2384163
January,2019,"Deer, Mule",49.873599848,-113.497883678
January,2019,"Deer, Mule",49.734725348,-112.927240159
January,2019,"Deer, Mule",49.4425377,-112.2026513
January,2019,"Deer, Mule",49.707261445,-113.45616445
January,2019,"Deer, Mule",50.755085168,-114.315382345
January,2019,"Deer, Mule",51.6490092,-112.074251
January,2019,"Deer, Mule",49.987559222,-113.564146688
January,2019,"Deer, Mule",52.398437014,-113.101264425
January,2019,"Deer, Mule",51.647232186,-114.096081025
January,2019,"Deer, Mule",50.194988293,-112.097360697
January,2019,"Deer, Mule",49.4874494,-113.978959
January,2019,"Deer, Mule",56.181068788,-117.359267231
January,2019,"Deer, Mule",49.618733675,-114.459075406
January,2019,"Deer, Mule",50.837090396,-114.011056627
January,2019,"Deer, Mule",50.425727886,-113.827662527
January,2019,"Deer, Mule",50.425535428,-113.828156523
January,2019,"Deer, Mule",54.337119262,-110.443924127
January,2019,"Deer, Mule",54.267878329,-111.040102205
January,2019,"Deer, Mule",49.591585892,-114.196607508
January,2019,"Deer, Mule",49.65115297,-113.360205945
January,2019,"Deer, Mule",54.173592244,-111.054726061
January,2019,"Deer, Mule",51.347040326,-113.57660409
January,2019,"Deer, Mule",51.514419294,-114.02540152
January,2019,"Deer, Mule",50.484640902,-114.086227007
January,2019,"Deer, Mule",50.7082106,-112.2411401
January,2019,"Deer, Mule",50.7103708,-112.2475817
January,2019,"Deer, Mule",54.125620313,-110.605156143
January,2019,"Deer, Mule",49.586001038,-114.211209214
