 Month Observed, Year Observed, Species, Latitude, Longitude
January,2017,"Animal, Unknown",53.569698832,-114.164323602
January,2017,"Deer, Mule",53.387402657,-112.868996384
January,2017,"Deer, Mule",53.395965566,-113.004778476
January,2017,"Deer, Mule",50.702819852,-114.11314169
January,2017,"Deer, White-Tailed",53.453890141,-113.806321621
January,2017,"Deer, White-Tailed",51.143311327,-114.724020744
January,2017,"Deer, White-Tailed",53.367145113,-114.88254684
January,2017,"Deer, White-Tailed",50.991833867,-115.074242139
January,2017,"Deer, White-Tailed",53.541140598,-114.061743692
January,2017,"Deer, White-Tailed",51.095509878,-114.591185516
January,2017,"Deer, White-Tailed",51.154363328,-113.826894919
January,2017,Elk,50.601144601,-114.018816529
January,2017,Elk,51.079407781,-115.335254269
January,2017,"Fox, Red",53.038339438,-113.611818971
January,2017,Horse/Cow/Other Livestock,50.81129369,-114.301910459
January,2017,Moose,54.5381885,-118.714559
January,2017,Moose,54.9888702,-118.7745483
January,2017,Moose,50.293048932,-114.221170675
January,2017,Moose,52.28121235,-113.718792759
January,2017,Moose,54.5452876,-118.7165598
January,2017,Moose,52.667637826,-113.468978685
January,2017,"Skunk, Striped",51.48228161,-113.521108506
February,2017,Cougar,50.137040248,-114.1823614
February,2017,Cougar,51.053769719,-115.2039795
February,2017,Coyote,52.729833692,-113.644101787
February,2017,Coyote,53.680594051,-114.222959709
February,2017,Coyote,51.023327934,-114.441655426
February,2017,"Deer, Mule",51.1642989,-114.472970758
February,2017,"Deer, Mule",56.930282763,-117.624886204
February,2017,"Deer, Mule",50.875228478,-114.533448578
February,2017,"Deer, Mule",50.835732745,-114.506409608
February,2017,"Deer, Mule",50.570797375,-114.230917715
February,2017,"Deer, Mule",50.833052559,-114.007373008
February,2017,"Deer, Mule",56.357119633,-117.088908842
February,2017,"Deer, Mule",52.461831509,-114.075191701
February,2017,"Deer, Mule",54.4900289,-112.9548711
February,2017,"Deer, White-Tailed",53.117300822,-111.223897738
February,2017,"Deer, White-Tailed",53.148539061,-113.596636578
February,2017,"Deer, White-Tailed",50.572108682,-113.453362612
February,2017,"Deer, White-Tailed",50.572108682,-113.453362612
February,2017,"Deer, White-Tailed",50.572108682,-113.453362612
February,2017,"Deer, White-Tailed",52.665915554,-113.656513458
February,2017,"Deer, White-Tailed",50.212066194,-114.103831683
February,2017,"Deer, White-Tailed",50.702962077,-114.04750821
February,2017,"Deer, White-Tailed",50.702843249,-114.139666029
February,2017,"Deer, White-Tailed",50.571541439,-114.230935528
February,2017,"Deer, White-Tailed",50.570077814,-114.230964608
February,2017,"Deer, White-Tailed",50.296681331,-114.224061841
February,2017,"Deer, White-Tailed",50.571992027,-113.473253992
February,2017,"Deer, White-Tailed",50.712087051,-113.881861217
February,2017,"Deer, White-Tailed",50.802145155,-113.971277898
February,2017,"Deer, White-Tailed",56.222302546,-117.610291382
February,2017,"Deer, White-Tailed",54.640455,-112.8031703
February,2017,"Deer, White-Tailed",54.6840201,-112.8034917
February,2017,Elk,51.084239152,-115.054632425
February,2017,Moose,51.182581466,-114.367266744
February,2017,Moose,52.274020761,-113.653266477
February,2017,Moose,50.070639257,-114.168065164
February,2017,Moose,50.288768189,-114.217907136
February,2017,Moose,54.44043,-112.9547517
February,2017,Moose,54.3607407,-112.9383998
February,2017,Owl,55.628614,-111.0925386
February,2017,"Skunk, Striped",51.663676724,-113.983573308
February,2017,"Skunk, Striped",51.66397579,-113.873261092
March,2017,"Animal, Unknown",56.4062791,-117.6562846
March,2017,Coyote,50.919283071,-114.530757473
March,2017,Coyote,51.149196848,-114.271288505
March,2017,Coyote,51.617628518,-114.025304122
March,2017,Coyote,53.038803334,-113.610804258
March,2017,Coyote,52.259540772,-113.85354124
March,2017,Coyote,52.098382884,-113.840384921
March,2017,"Deer, Mule",50.580727564,-114.230894708
March,2017,"Deer, Mule",53.395725666,-113.018547747
March,2017,"Deer, Mule",57.064105882,-117.571252585
March,2017,"Deer, Mule",50.778522705,-114.047790098
March,2017,"Deer, Mule",50.702767825,-113.996881178
March,2017,"Deer, Mule",52.46345148,-113.905390436
March,2017,"Deer, Unknown",56.1958745,-117.5811687
March,2017,"Deer, Unknown",52.340108296,-113.849275606
March,2017,"Deer, White-Tailed",53.265154618,-113.98698533
March,2017,"Deer, White-Tailed",56.472282373,-117.66307231
March,2017,"Deer, White-Tailed",52.226860905,-113.826110289
March,2017,"Deer, White-Tailed",52.465091148,-114.833122781
March,2017,"Deer, White-Tailed",51.432567914,-114.470284609
March,2017,"Deer, White-Tailed",57.138850698,-111.597917154
March,2017,"Deer, White-Tailed",53.111954466,-111.224037046
March,2017,"Deer, White-Tailed",52.354848855,-113.837342596
March,2017,"Deer, White-Tailed",52.855234081,-113.643709766
March,2017,"Deer, White-Tailed",56.8029893,-117.6446024
March,2017,"Deer, White-Tailed",50.702822021,-114.139670169
March,2017,"Deer, White-Tailed",51.64043182,-114.025632441
March,2017,"Deer, White-Tailed",58.5143962,-116.9029988
March,2017,"Deer, White-Tailed",53.592414334,-113.245381862
March,2017,"Deer, White-Tailed",52.921246514,-114.364408432
March,2017,"Deer, White-Tailed",50.077318463,-114.16948966
March,2017,"Deer, White-Tailed",50.719043981,-113.882153125
March,2017,"Deer, White-Tailed",50.547912643,-113.82810307
March,2017,"Deer, White-Tailed",52.28136247,-113.912669867
March,2017,"Deer, White-Tailed",52.230301634,-113.514350513
March,2017,"Deer, White-Tailed",52.230320284,-113.509762175
March,2017,Elk,56.710736831,-117.648963472
March,2017,Elk,50.775754082,-114.267102468
March,2017,Elk,50.294660595,-114.222407734
March,2017,Elk,50.746589363,-114.140711228
March,2017,Elk,50.746572388,-114.140864243
March,2017,Elk,50.74668452,-114.118009861
March,2017,Elk,50.304283753,-114.227102837
March,2017,Moose,52.31907961,-114.660519194
March,2017,Moose,50.092742329,-114.167836644
March,2017,Moose,50.892171538,-114.243734434
March,2017,Moose,54.5896083,-118.7023966
March,2017,Moose,50.112369312,-114.172992743
March,2017,Porcupine,52.928238697,-114.36409805
March,2017,"Skunk, Striped",53.57719938,-113.245977794
April,2017,Coyote,51.08681727,-113.92011015
April,2017,"Deer, Mule",51.280760039,-114.378693458
April,2017,"Deer, Mule",50.211345963,-114.184951545
April,2017,"Deer, Mule",50.100280009,-114.167165689
April,2017,"Deer, Mule",50.905308438,-114.387800795
April,2017,"Deer, Mule",51.241399418,-113.639652925
April,2017,"Deer, Unknown",51.436447508,-114.003568931
April,2017,"Deer, White-Tailed",53.265374475,-112.355208155
April,2017,"Deer, White-Tailed",53.716090866,-113.541133711
April,2017,"Deer, White-Tailed",54.591764677,-117.044474026
April,2017,"Deer, White-Tailed",51.037733294,-113.243366601
April,2017,"Deer, White-Tailed",53.648012755,-113.245280609
April,2017,"Deer, White-Tailed",53.625658488,-113.245672118
April,2017,"Deer, White-Tailed",51.088625235,-114.536594264
April,2017,"Deer, White-Tailed",51.087742159,-114.533357089
April,2017,"Deer, White-Tailed",53.389471192,-114.228915218
April,2017,"Deer, White-Tailed",50.965336511,-114.543917997
April,2017,"Deer, White-Tailed",50.702778359,-114.16314365
April,2017,"Deer, White-Tailed",50.702977026,-114.094639947
April,2017,"Deer, White-Tailed",50.892210358,-114.28021329
April,2017,"Deer, White-Tailed",50.702917055,-114.051138293
April,2017,"Deer, White-Tailed",50.892181385,-114.231648064
April,2017,"Deer, White-Tailed",50.572364634,-114.230918486
April,2017,"Deer, White-Tailed",50.424390766,-114.230848295
April,2017,"Deer, White-Tailed",50.424803165,-114.231030271
April,2017,"Deer, White-Tailed",50.601240284,-113.916876323
April,2017,"Deer, White-Tailed",50.776545197,-113.974850256
April,2017,"Deer, White-Tailed",50.702660786,-113.97441039
April,2017,"Deer, White-Tailed",50.71846104,-113.881717427
April,2017,"Deer, White-Tailed",50.702798341,-113.981396247
April,2017,Duck/Goose/Swan,52.725329222,-113.644275175
April,2017,Elk,51.079936051,-115.33540112
April,2017,Moose,56.626574812,-117.6696226
April,2017,Moose,56.674392982,-117.653636383
April,2017,Moose,50.788030842,-113.954602805
April,2017,Muskrat,52.173675577,-113.813872806
April,2017,Muskrat,52.227093763,-113.813945507
April,2017,Owl,55.625233,-111.1063546
May,2017,Badger,49.732966788,-113.358753808
May,2017,Beaver,53.17838327,-113.028705809
May,2017,Beaver,56.5109099,-111.3110914
May,2017,"Cat, Domestic",52.814204078,-112.956312737
May,2017,"Cat, Domestic",52.901984188,-112.95807696
May,2017,"Cat, Domestic",50.0413542,-110.71618
May,2017,"Cat, Domestic",49.69800024,-112.72543293
May,2017,Coyote,56.5012488,-111.3059279
May,2017,Coyote,53.103226139,-111.534181964
May,2017,Coyote,53.338818932,-112.806393514
May,2017,Coyote,55.210314202,-112.465897053
May,2017,Coyote,51.066643,-113.869428
May,2017,"Deer, Mule",51.169820605,-114.315800686
May,2017,"Deer, Mule",53.366904182,-112.74590266
May,2017,"Deer, Mule",53.5703398,-114.1903371
May,2017,"Deer, Mule",53.6538635,-114.2228159
May,2017,"Deer, Mule",51.131064068,-114.942537714
May,2017,"Deer, Mule",49.68494601,-110.2940103
May,2017,"Deer, Mule",51.090858341,-114.574548695
May,2017,"Deer, Mule",50.44809063,-114.242200535
May,2017,"Deer, Mule",50.585547681,-114.230866945
May,2017,"Deer, Mule",50.70507225,-113.88267371
May,2017,"Deer, Mule",49.70659608,-112.85712584
May,2017,"Deer, Mule",50.885080188,-114.710328486
May,2017,"Deer, Mule",51.03752604,-113.45597176
